parcode,trial,location,category,novelty
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,0,0,0
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,6,3,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,7,4,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,8,2,1
1,1,0,0,0
1,1,0,0,0
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,2,4,1
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,8,2,2
1,1,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,5,3,1
1,2,0,0,0
1,2,0,0,0
1,2,0,0,0
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,2,2,1
1,2,0,0,0
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
1,2,3,3,1
